"HDI Rank","Country","GII_Value","GII_Rank","Maternal_mortality ratio_(deaths_per_100k_livebirths)","Adolescent_birth rate_(births_per_1k_women_age_15-19)","Share of seats in parliament_(%_held_by_women)","f_with_at_least_some_secondary_education_in%","m_with_at_least_some_secondary_education_in%","f_Labour force participation rate_in%","m_Labour force participation rate_in%"
107,"Bolivia (Plurinational State of)",0.417,98,155.0,64.9,51.80722892,53.09571669,59.48890159,63.177,80.515
107,"Indonesia",0.48,121,177.0,47.374,17.39130435,46.84225,55.05406,53.08,81.885
107,"Philippines",0.43,104,121.0,54.154,28.04878049,75.59380536,72.38818412,46.1,73.258
110,"Belize",0.415,97,36.0,68.487,11.11111111,79.04098049,78.90916961,49.904,80.603
111,"Samoa",0.36,81,43.0,23.886,10.0,79.1274861,71.58292158,31.104,55.456
111,"Turkmenistan",,,7.0,24.418,25.0,,,51.407,78.315
113,"Venezuela (Bolivarian Republic of)",0.479,119,125.0,85.337,22.15568862,71.71238,66.61428,45.44,74.853
114,"South Africa",0.406,93,119.0,67.908,45.33333333,74.97650898,78.20732748,49.61,62.749
115,"Palestine, State of",,,27.0,52.766,,63.54091,64.93922,17.693,69.497
116,"Egypt",0.449,108,37.0,53.819,14.93288591,73.50696,72.53537,21.933,70.858
117,"Marshall Islands",,,,,6.060606061,91.64424,92.46859,,
117,"Viet Nam",0.296,65,43.0,30.929,26.72064777,66.43856115,78.16887914,72.708,82.363
119,"Gabon",0.525,128,252.0,96.227,17.94871795,66.23708064,50.63732373,43.526,61.833
120,"Kyrgyzstan",0.369,82,60.0,32.763,19.16666667,99.09042481,98.34,44.768,75.735
121,"Morocco",0.454,111,70.0,31.034,18.44660194,29.08900478,35.95105301,21.469,70.139
122,"Guyana",0.462,115,169.0,74.382,31.88405797,70.92,56.44,43.943,68.476
123,"Iraq",0.577,146,79.0,71.733,25.22796353,39.52,56.52,11.619,74.228
124,"El Salvador",0.383,85,46.0,69.459,30.95238095,39.9476,46.38389461,45.32,75.74
125,"Tajikistan",0.314,70,17.0,57.076,20.0,93.32986,95.73984,31.284,52.834
126,"Cabo Verde",0.397,89,58.0,73.759,23.61111111,28.77587928,31.23702564,53.342,67.556
127,"Guatemala",0.479,119,95.0,70.93,19.375,38.60151499,37.54914304,39.914,86.345
128,"Nicaragua",0.428,101,98.0,84.99,44.56521739,48.46432692,46.79803681,49.669,84.232
129,"Bhutan",0.421,99,183.0,20.184,15.27777778,23.27543,31.37641,58.862,73.442
130,"Namibia",0.44,106,195.0,63.627,36.95652174,40.56738384,42.0042855,56.089,63.331
131,"India",0.488,123,133.0,13.177,13.48600509,27.6706,47.0304,20.524,76.081
