,female_perc,male_perc,total_perc,agriculture,agriculture_female,agriculture_male,industry,industry_female,industry_male,services,services_female,services_male,female_share,law_prohibits_discrimination,parttime_female,parttime_male,parttime_total,selfemployed_female,selfemployed_male,selfemployed_total,law_harassment,unemployment_female_ILO,unemployment_female_national,unemployment_male_ILO,unemployment_male_national,unemployment_total_ILO,unemployment_total_national,ws_workers_female,ws_workers_male,ws_workers_total,penalties_harassment
desc,"Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)",Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Employment in industry (% of total employment) (modeled ILO estimate),"Employment in industry, female (% of female employment) (modeled ILO estimate)","Employment in industry, male (% of male employment) (modeled ILO estimate)",Employment in services (% of total employment) (modeled ILO estimate),"Employment in services, female (% of female employment) (modeled ILO estimate)","Employment in services, male (% of male employment) (modeled ILO estimate)",Female share of employment in senior and middle management (%),Law prohibits discrimination in employment based on gender (1=yes; 0=no),"Part time employment, female (% of total part time employment)","Part time employment, male (% of total male employment)","Part time employment, total (% of total employment)","Self-employed, female (% of female employment) (modeled ILO estimate)","Self-employed, male (% of male employment) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate)",There is legislation on sexual harassment in employment (1=yes; 0=no),"Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, female (% of female labor force) (national estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (national estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (national estimate)","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",Criminal penalties or civil remedies exist for sexual harassment in employment (1=yes; 0=no)
1992,2.3,6.5,4.8,3.4,3.3,3.5,37.4,21.5,48.6,59.2,75.2,47.9,NA,Nein,75.6,8.2,20.1,8.1,11.4,10,Nein,8.2,8.2,4.9,4.9,6.3,6.3,91.9,88.6,90,Nein
1993,2.5,6.7,5,3.3,3.2,3.5,36.7,20.9,48,59.9,75.9,48.6,NA,Nein,75.9,8.4,20.5,8.3,11.8,10.3,Nein,9.3,9.3,6.5,6.5,7.7,7.7,91.7,88.2,89.7,Nein
1994,2.8,7.1,5.3,3.3,3.1,3.4,36.4,20.6,47.8,60.3,76.3,48.8,NA,Nein,77.1,8.3,21.1,8.4,12.3,10.6,Nein,10.3,10.3,7.5,7.5,8.7,8.7,91.6,87.7,89.4,Nein
1995,2.6,7,5.1,3.2,3,3.3,36,20.2,47.5,60.8,76.8,49.2,NA,Ja,76.5,8.9,22.3,8.5,12.3,10.7,Nein,9.6,9.6,7.1,7,8.2,8.2,91.5,87.7,89.3,Nein
1996,2.5,6.9,5.1,2.9,2.6,3.2,35.3,19.4,47,61.8,78,49.8,NA,Ja,77.4,8.7,22.5,8,12.6,10.6,Nein,9.6,9.6,8.2,8.2,8.8,8.8,92,87.4,89.4,Nein
1997,2.6,7,5.1,2.9,2.5,3.2,34.7,18.9,46.5,62.4,78.6,50.3,NA,Ja,76.7,9.7,23.9,8.1,13,10.9,Nein,10.6,10.6,9.3,9.3,9.9,9.9,91.9,87,89.1,Nein
1998,2.6,7,5.1,2.8,2.3,3.1,34.4,18.9,46.1,62.8,78.8,50.8,NA,Ja,76.8,9.9,24.6,8.2,13.1,11,Nein,10.4,10.4,9.3,9.3,9.8,9.8,91.8,86.9,89,Nein
1999,2.6,7.1,5.1,2.9,2.3,3.3,33.8,18.5,45.6,63.3,79.2,51.1,NA,Ja,77.4,10,25.1,7.8,13.1,10.8,Nein,9.2,9.2,8.6,8.6,8.9,8.9,92.2,86.9,89.2,Nein
2000,2.6,6.9,5,2.6,2.1,3,33.5,18.3,45.3,63.8,79.6,51.7,20.7,Ja,76.5,10.8,26.2,7.8,13.2,10.9,Nein,8.3,8.3,7.6,7.6,7.9,7.9,92.2,86.8,89.1,Nein
2001,2.7,6.9,5,2.6,2.1,3,32.8,17.9,44.5,64.6,80.1,52.5,20.6,Ja,77.3,10.6,26.5,8.5,13.2,11.1,Nein,7.8,7.8,7.8,7.8,7.8,7.8,91.5,86.8,88.9,Nein
